family,name_en,name_native,iso_639_1,iso_639_2t,iso_639_2b,iso_639_3,iso_639_6
Niger–Congo,"Kwanyama, Kuanyama",Kuanyama,kj,kua,kua,kua,
Indo-European,Latin,"latine, lingua latina",la,lat,lat,lat,lats
Indo-European,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb,ltz,ltz,ltz,
Niger–Congo,Ganda,Luganda,lg,lug,lug,lug,
Indo-European,"Limburgish, Limburgan, Limburger",Limburgs,li,lim,lim,lim,
Niger–Congo,Lingala,Lingála,ln,lin,lin,lin,
Tai–Kadai,Lao,ພາສາລາວ,lo,lao,lao,lao,
Indo-European,Lithuanian,lietuvių kalba,lt,lit,lit,lit,
Niger–Congo,Luba-Katanga,Tshiluba,lu,lub,lub,lub,
Indo-European,Latvian,latviešu valoda,lv,lav,lav,lav,
Indo-European,Manx,"Gaelg, Gailck",gv,glv,glv,glv,
Indo-European,Macedonian,македонски јазик,mk,mkd,mac,mkd,
Austronesian,Malagasy,fiteny malagasy,mg,mlg,mlg,mlg,
Austronesian,Malay,"bahasa Melayu, بهاس ملايو‎",ms,msa,may,msa,
Dravidian,Malayalam,മലയാളം,ml,mal,mal,mal,
Afro-Asiatic,Maltese,Malti,mt,mlt,mlt,mlt,
Austronesian,Māori,te reo Māori,mi,mri,mao,mri,
Indo-European,Marathi (Marāṭhī),मराठी,mr,mar,mar,mar,
Austronesian,Marshallese,Kajin M̧ajeļ,mh,mah,mah,mah,
Mongolic,Mongolian,монгол,mn,mon,mon,mon,
Austronesian,Nauru,Ekakairũ Naoero,na,nau,nau,nau,
Dené–Yeniseian,"Navajo, Navaho","Diné bizaad, Dinékʼehǰí",nv,nav,nav,nav,
Indo-European,Norwegian Bokmål,Norsk bokmål,nb,nob,nob,nob,
Niger–Congo,North Ndebele,isiNdebele,nd,nde,nde,nde,
Indo-European,Nepali,नेपाली,ne,nep,nep,nep,
Niger–Congo,Ndonga,Owambo,ng,ndo,ndo,ndo,
Indo-European,Norwegian Nynorsk,Norsk nynorsk,nn,nno,nno,nno,
Indo-European,Norwegian,Norsk,no,nor,nor,nor,
Sino-Tibetan,Nuosu,ꆈꌠ꒿ Nuosuhxop,ii,iii,iii,iii,
Niger–Congo,South Ndebele,isiNdebele,nr,nbl,nbl,nbl,
Indo-European,Occitan,"occitan, lenga d'òc",oc,oci,oci,oci,
Algonquian,"Ojibwe, Ojibwa",ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,oji,oji,
Indo-European,"Old Church Slavonic, Church Slavonic, Old Bulgarian",ѩзыкъ словѣньскъ,cu,chu,chu,chu,
Afro-Asiatic,Oromo,Afaan Oromoo,om,orm,orm,orm,
Indo-European,Oriya,ଓଡ଼ିଆ,or,ori,ori,ori,
Indo-European,"Ossetian, Ossetic",ирон æвзаг,os,oss,oss,oss,
Indo-European,"Panjabi, Punjabi","ਪੰਜਾਬੀ, پنجابی‎",pa,pan,pan,pan,
Indo-European,Pāli,पाऴि,pi,pli,pli,pli,
Indo-European,Persian (Farsi),فارسی,fa,fas,per,fas,
Indo-European,Polish,"język polski, polszczyzna",pl,pol,pol,pol,pols
Indo-European,"Pashto, Pushto",پښتو,ps,pus,pus,pus,
Indo-European,Portuguese,português,pt,por,por,por,
Quechuan,Quechua,"Runa Simi, Kichwa",qu,que,que,que,
Indo-European,Romansh,rumantsch grischun,rm,roh,roh,roh,
Niger–Congo,Kirundi,Ikirundi,rn,run,run,run,
Indo-European,Romanian,limba română,ro,ron,rum,ron,
Indo-European,Russian,русский язык,ru,rus,rus,rus,
Indo-European,Sanskrit (Saṁskṛta),संस्कृतम्,sa,san,san,san,
Indo-European,Sardinian,sardu,sc,srd,srd,srd,
Indo-European,Sindhi,"सिन्धी, سنڌي، سندھی‎",sd,snd,snd,snd,
Uralic,Northern Sami,Davvisámegiella,se,sme,sme,sme,
Austronesian,Samoan,gagana fa'a Samoa,sm,smo,smo,smo,
Creole,Sango,yângâ tî sängö,sg,sag,sag,sag,
Indo-European,Serbian,српски језик,sr,srp,srp,srp,
Indo-European,Scottish Gaelic; Gaelic,Gàidhlig,gd,gla,gla,gla,
Niger–Congo,Shona,chiShona,sn,sna,sna,sna,
Indo-European,"Sinhala, Sinhalese",සිංහල,si,sin,sin,sin,
Indo-European,Slovak,"slovenčina, slovenský jazyk",sk,slk,slo,slk,
Indo-European,Slovene,"slovenski jezik, slovenščina",sl,slv,slv,slv,
Afro-Asiatic,Somali,"Soomaaliga, af Soomaali",so,som,som,som,
Niger–Congo,Southern Sotho,Sesotho,st,sot,sot,sot,
Turkic,South Azerbaijani,تورکجه‎,az,azb,azb,azb,
Indo-European,Spanish; Castilian,"español, castellano",es,spa,spa,spa,
Austronesian,Sundanese,Basa Sunda,su,sun,sun,sun,
Niger–Congo,Swahili,Kiswahili,sw,swa,swa,swa,
Niger–Congo,Swati,SiSwati,ss,ssw,ssw,ssw,
Indo-European,Swedish,Svenska,sv,swe,swe,swe,
Dravidian,Tamil,தமிழ்,ta,tam,tam,tam,
Dravidian,Telugu,తెలుగు,te,tel,tel,tel,
Indo-European,Tajik,"тоҷикӣ, toğikī, تاجیکی‎",tg,tgk,tgk,tgk,
Tai–Kadai,Thai,ไทย,th,tha,tha,tha,
Afro-Asiatic,Tigrinya,ትግርኛ,ti,tir,tir,tir,
Sino-Tibetan,"Tibetan Standard, Tibetan, Central",བོད་ཡིག,bo,bod,tib,bod,
Turkic,Turkmen,"Türkmen, Түркмен",tk,tuk,tuk,tuk,
Austronesian,Tagalog,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔",tl,tgl,tgl,tgl,
Niger–Congo,Tswana,Setswana,tn,tsn,tsn,tsn,
Austronesian,Tonga (Tonga Islands),faka Tonga,to,ton,ton,ton,
Turkic,Turkish,Türkçe,tr,tur,tur,tur,
Niger–Congo,Tsonga,Xitsonga,ts,tso,tso,tso,
Turkic,Tatar,"татар теле, tatar tele",tt,tat,tat,tat,
Niger–Congo,Twi,Twi,tw,twi,twi,twi,
Austronesian,Tahitian,Reo Tahiti,ty,tah,tah,tah,
Turkic,"Uyghur, Uighur","Uyƣurqə, ئۇيغۇرچە‎",ug,uig,uig,uig,
Indo-European,Ukrainian,українська мова,uk,ukr,ukr,ukr,
Indo-European,Urdu,اردو,ur,urd,urd,urd,
Turkic,Uzbek,"O‘zbek, Ўзбек, أۇزبېك‎",uz,uzb,uzb,uzb,
Niger–Congo,Venda,Tshivenḓa,ve,ven,ven,ven,
Austroasiatic,Vietnamese,Tiếng Việt,vi,vie,vie,vie,
Constructed,Volapük,Volapük,vo,vol,vol,vol,
Indo-European,Walloon,walon,wa,wln,wln,wln,
Indo-European,Welsh,Cymraeg,cy,cym,wel,cym,
Niger–Congo,Wolof,Wollof,wo,wol,wol,wol,
Indo-European,Western Frisian,Frysk,fy,fry,fry,fry,
Niger–Congo,Xhosa,isiXhosa,xh,xho,xho,xho,
Indo-European,Yiddish,ייִדיש,yi,yid,yid,yid,
Niger–Congo,Yoruba,Yorùbá,yo,yor,yor,yor,
Tai–Kadai,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,zha,zha,
Niger–Congo,Zulu,isiZulu,zu,zul,zul,zul,
